,specaugment0,specaugment1,specaugment2,specaugment3,specaugment4,specaugment5,specaugment6,specaugment7,specaugment8,specaugment9,specaugment10,specaugment11,specaugment12
70,-604.2379,135.24284,-15.260543,6.996363,-3.1489477,5.162838,-15.256394,-10.360035,-10.579384,-11.28615,-9.071046,-5.9008317,-6.496194
71,-598.49243,141.78314,-8.702623,8.722634,-2.2786543,6.059034,-14.702784,-11.674491,-9.611059,-11.250532,-8.185259,-3.9555984,-7.1323647
72,-676.696,143.59737,-13.598436,-1.5090272,-2.205013,2.2118735,-13.91117,-12.2536955,-8.360282,-10.73598,-5.1414886,-7.276262,-5.404262
73,-553.2154,137.14774,-20.48765,-0.5844499,-5.0259857,5.454611,-9.964706,-5.3301296,-9.996878,-9.173904,-5.1832237,-5.749369,-6.526716
74,-727.3317,124.927895,-8.172246,-6.2227664,2.5520616,0.009110343,-8.970146,-8.54894,-5.9688582,-8.290589,-5.9875727,-7.754584,-5.5673966
75,-697.81744,145.33165,-3.6309462,-4.535829,-0.9578256,-0.44442782,-13.184166,-11.96436,-6.246935,-10.987962,-7.980014,-7.6807137,-4.836838
76,-623.49146,151.31892,-16.721754,-1.5748118,-6.47408,1.9319721,-16.476072,-8.729699,-8.173166,-11.37699,-7.48127,-6.210326,-5.6044507
77,-634.74615,149.08347,-13.222695,-0.30071527,-8.777951,1.5654987,-15.564172,-9.39198,-8.333914,-9.744915,-6.0953712,-6.8115125,-6.2505827
78,-602.0656,145.66002,-36.507584,-3.3542345,-7.181119,-0.29496673,-12.13558,-6.6205153,-6.538709,-5.9439635,-6.709687,-9.8137865,-7.218305
79,-627.4512,145.91748,-13.4761505,3.6434016,-9.036309,2.0666337,-11.9942,-5.0834513,-5.7560205,-6.6837673,-4.6504474,-6.319527,-5.161683
80,-552.3651,140.9934,-9.961109,5.0741844,-8.852788,0.7428674,-13.065075,-5.7103124,-6.0282216,-8.18805,-8.80546,-7.431003,-6.7682333
81,-580.86426,140.75748,-7.4307723,0.063624404,-10.415941,0.38147503,-13.8352165,-5.200018,-4.814005,-6.781727,-6.92957,-6.5379057,-6.189962
82,-680.079,140.80112,-4.336222,0.40343818,-10.0918,-2.9781103,-10.100797,-4.6890874,-5.3600373,-8.051808,-5.549074,-7.7140017,-5.496615
83,-586.5545,135.52731,-11.57521,2.0677252,-10.838712,0.6037551,-12.059883,-4.371528,-3.3636138,-5.5112085,-8.065962,-7.4407496,-7.580546
84,-616.4463,144.10707,-12.515041,2.176513,-10.176349,0.5188571,-12.865792,-4.6437345,-5.2700257,-7.5740647,-5.9111238,-5.938997,-4.9504147
85,-584.63635,142.23097,-9.124296,1.8144534,-11.172987,2.8475823,-8.944626,-3.2336202,-4.4262404,-4.4284964,-5.308967,-5.895622,-6.3482337
86,-514.0459,148.70963,-14.955015,-2.2014189,-11.81702,2.164284,-10.463352,-4.761916,-6.5640936,-4.63961,-3.9479783,-4.877502,-5.452549
87,-655.58374,154.22676,-7.392811,0.04354446,-10.08572,0.6699056,-10.482066,-7.7638545,-5.644753,-9.321371,-8.115217,-7.5445004,-6.8385496
88,-622.43335,146.54803,-13.01251,-1.9333433,-9.442131,2.6173086,-10.032899,-6.063564,-3.3607953,-4.703718,-7.8525376,-6.725666,-7.3439174
89,-610.09015,146.85855,-44.44223,-5.8981233,-7.299957,0.53107125,-15.12414,-11.2819805,-4.8342705,-5.243441,-5.59879,-8.162349,-7.7512836
90,-626.9396,153.23062,-10.065831,-0.9934303,-9.049374,2.1756163,-10.180822,-5.5590878,-3.9427586,-7.4450116,-8.778079,-7.124081,-6.3161063
91,-564.9869,152.742,-10.91914,-4.6926556,-13.128514,-0.7690346,-10.606876,-4.139429,-6.0779476,-4.7531576,-5.209463,-4.6086073,-4.443661
92,-718.2736,139.16415,-1.7549944,-11.120623,-4.999474,-3.513606,-7.0374384,-7.034429,-4.3629537,-5.837103,-4.801355,-6.154435,-4.757039
93,-590.79083,148.79253,-12.810583,0.08251555,-9.981749,1.74086,-9.466411,-5.111747,-4.9350467,-5.333384,-7.3867216,-6.6074376,-7.766305
94,-672.9441,158.64014,-7.7093544,-5.2789345,-4.31115,-2.6000357,-12.657573,-15.349787,-10.603409,-11.51256,-12.257379,-13.398709,-6.2552476
95,-593.7157,150.412,-15.327273,2.1896672,-9.297936,4.3112364,-13.309149,-6.963856,-8.132095,-5.954713,-6.0034714,-7.21135,-5.918117
96,-604.3839,148.0935,-6.2901597,2.7772875,-10.325077,-0.88066566,-12.351359,-6.428932,-6.9030566,-6.4145017,-7.344031,-7.1643705,-7.2140303
97,-705.8332,134.19302,-4.961462,-2.9197192,-4.34232,0.45092994,-10.317203,-9.589328,-5.478718,-9.175232,-5.9398384,-8.102758,-5.243843
98,-584.12415,140.76701,-11.534083,2.8353589,-7.555644,4.2734227,-11.735646,-4.2950215,-5.146447,-6.3720975,-6.9229326,-6.176504,-6.759607
99,-629.97034,147.16647,-15.57563,1.6230422,-5.905402,3.3436413,-12.727086,-8.800425,-8.860066,-9.228595,-7.3778234,-8.215618,-8.868314
100,-607.0312,145.90327,-36.1707,-3.2313824,-6.730172,2.1327639,-13.259406,-9.205527,-6.895367,-8.151417,-7.1187143,-7.307789,-9.242633
101,-682.1775,138.9099,-11.876446,1.5082068,-2.6212444,3.2181706,-9.656417,-8.606271,-6.63157,-9.327176,-5.6447287,-9.797267,-5.901334
102,-605.69025,143.64078,-14.152297,0.46599713,-6.73074,3.7290041,-11.967867,-6.5997896,-8.561721,-8.387354,-8.707633,-7.957405,-7.355791
103,-650.83655,142.50148,-7.415444,2.399396,-7.883216,2.8858752,-11.655568,-8.043944,-8.868647,-8.832975,-6.919786,-6.9584637,-5.013899
